Name,Brand,Category,Stock,PurchasedQuantity,PurchaseDate,PurchasedFrom,PurchaseWithoutGst,PurchaseWithGst,SellingWithoutGst,SellingWithGst,GstRate,Status
4 WAY DB BOARD FYBROS,FYBROS,DB Boards,8,10,2026-02-14,5,0.0,416.0,0.0,550.0,18,active
16 WAY DB BOARD FYBROS,FYBROS,DB Boards,5,5,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,824.0,0.0,1070.0,18,active
12 WAY DB BOARD FYBROS,FYBROS,DB Boards,9,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,687.0,0.0,910.0,18,active
8 WAY DB BOARD FYBROS,FYBROS,DB Boards,9,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,555.0,0.0,750.0,18,active
6 WAY DB BOARD FYBROS,FYBROS,DB Boards,9,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,482.0,0.0,670.0,18,active
63AMP TPN MCB RENOVE,RENOVE,MCB & Protection,2,3,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,722.0,0.0,850.0,18,active
40AMP TPN MCB RENOVE,RENOVE,MCB & Protection,3,3,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,608.0,0.0,700.0,18,active
40AMP 4 POLE MCB RENOVE,RENOVE,MCB & Protection,3,3,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,1141.0,0.0,1360.0,18,active
40AMP 2 POLE MCB RENOVE,RENOVE,MCB & Protection,6,6,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,918.0,0.0,1100.0,18,active
63AMP 4 POLE MCB RENOVE,RENOVE,MCB & Protection,3,3,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,1410.0,0.0,1650.0,18,active
20AMP SP ARMOR,ARMOR,MCB & Protection,12,12,2026-03-05,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,96.08,0.0,115.0,18,active
10AMP SP RENOVE,RENOVE,Electrical Accessories,10,36,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,73.0,0.0,95.0,18,active
16AMP SP ARMOR,ARMOR,MCB & Protection,12,12,2026-03-05,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,96.08,0.0,115.0,18,active
32AMP DP RENOVE,RENOVE,MCB & Protection,1,6,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,246.0,0.0,300.0,18,active
Z9005 BELLA DING DONG,BELLA,Door Bells,5,5,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,99.0,0.0,120.0,18,active
Z9014 PARROT BELL,PARROT,Door Bells,5,5,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,129.0,0.0,155.0,18,active
3M OVAL SURFACE BOX FYBROS,FYBROS,Boxes & Enclosures,20,20,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,44.0,0.0,52.0,18,active
2M OVAL SURFACE BOX FYBROS,FYBROS,Boxes & Enclosures,20,20,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,38.0,0.0,45.0,18,active
4M OVAL SURFACE BOX FYBROS,FYBROS,Boxes & Enclosures,20,20,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,53.0,0.0,53.0,18,active
8M-H OVAL SURFACE BOX FYBROS,FYBROS,Boxes & Enclosures,19,20,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,77.0,0.0,92.0,18,active
W50002G 2M AIR PLATE,,Plates & Modular Accessories,38,50,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,30.0,0.0,36.0,18,active
W50003G 3M AIR PLATE,,Plates & Modular Accessories,22,30,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,37.0,0.0,45.0,18,active
W50004G 4M AIR PLATE,,Plates & Modular Accessories,30,30,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,42.0,0.0,50.0,18,active
W10028 EME 4 STEP REGULATOR,,Regulators,10,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,137.0,0.0,165.0,18,active
W10053 5 STEP FULL ROTARY REGULATOR,,Regulators,21,30,2026-03-05,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,151.0,0.0,180.0,18,active
W10023 16AMP SOCKET,,Switches & Sockets,42,60,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,62.0,0.0,75.0,18,active
W10011 20AMP 1 WAY,,Switches & Sockets,39,40,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,39.0,0.0,47.0,18,active
W80002 10AMP 2 WAY,,Switches & Sockets,16,20,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,35.0,0.0,42.0,18,active
W10048 IKON 10AMP SP MCB,IKON,MCB & Protection,24,30,2026-03-05,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,109.0,0.0,131.0,18,active
W10049 IKON 20AMP DP MCB,IKON,MCB & Protection,27,30,2026-03-05,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,224.0,0.0,270.0,18,active
W10001 1 WAY,,Switches & Sockets,163,240,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,12.7,0.0,15.24,18,active
W10004 RAZE BELLPUSH,RAZE,MCB & Protection,19,20,2026-03-05,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,37.5,0.0,45.0,18,active
W80001 AURA 10 A 1 WAY SWITCH,AURA,Switches & Sockets,150,240,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,12.7,0.0,15.24,18,active
W80011 AURA 20 A 1 WAY SWITCH,AURA,Switches & Sockets,26,40,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,43.54,0.0,52.0,18,active
W80002 AURA 10 A 2 WAY SWITCH,AURA,Switches & Sockets,16,20,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,38.78,0.0,47.0,18,active
